,iso_merged,SHAPE_Leng,SHAPE_Area
161,FR,0.827809518177,0.0434159889619
162,FR,52.1684000876,65.1194256382
163,FR,0.000797854630432,4.44160482248e-10
164,FR,0.000606072166343,2.24362360964e-10
165,FR,0.000931539406248,6.35669006728e-10
166,GA,27.4923133388,21.659964476
167,GB,7.64002420397,2.19049367263
168,GB,1.63915058901,0.105152061809
169,GB,0.916989461228,0.0577426364187
170,GB,3.07644079537,0.310823214621
171,GB,3.83406605587,0.581692667957
172,GB,59.0224727041,34.8211091967
173,GB,2.23064828989,0.287251621942
174,GB,1.12925677411,0.065338826811
175,GB,4.27464209142,0.536809672791
176,GD,0.967695247761,0.0663695439986
177,GE,18.1165529357,8.16654907808
178,GF,11.7486067851,6.97666701889
179,GG,0.778831162252,0.0405398166722
180,GH,21.9000240962,19.8412425779
181,GI,0.443485571913,0.00531115830644
182,GM,7.73572361667,0.995506879494
183,GN,30.4132295889,20.4164687951
184,GP,0.719227930768,0.0399730549204
185,GP,2.3520745482,0.228952892176
186,GQ,6.50432741545,2.11290681463
187,GQ,2.04347732159,0.250849805706
188,GR,7.26715489743,1.1614062381
189,GR,1.29605208361,0.0919483190301
190,GR,1.02333422089,0.0749805665079
191,GR,1.99034804599,0.236481784352
192,GR,0.846023090075,0.0495608858622
193,GR,0.919630005274,0.0574784029474
194,GR,0.758764981065,0.0426819720821
195,GR,1.38577000284,0.0878278870832
196,GR,0.819407770421,0.0485769032126
197,GR,1.72621159356,0.149876492876
198,GR,0.778334257682,0.0444746255094
199,GR,0.782094966863,0.0456410489711
200,GR,1.21216261934,0.0821569796193
201,GR,1.45041438854,0.11343172086
202,GR,1.35466049441,0.107353093253
203,GR,1.93002130175,0.156011622708
204,GR,1.77942555176,0.173381459012
205,GR,1.01549553306,0.0720630413475
206,GR,0.817725467619,0.0442969249911
207,GR,2.29055242025,0.293343942615
208,GR,1.4973742896,0.128440067811
209,GR,0.913884184393,0.0561295503535
210,GR,40.5239567297,13.9310974523
211,GT,17.1379126856,9.35372118019
212,GW,0.896211101266,0.0590067762385
213,GW,0.703825214451,0.0370541033048
214,GW,0.771340873939,0.0398616063618
215,GW,0.827671885707,0.0510866688447
216,GW,9.71802208276,2.95497121717
217,GY,25.1227788967,17.4068194069
218,HN,0.000603535493751,3.86636129284e-10
219,HN,0.000498119371521,2.38269346956e-10
220,HN,0.000401384182328,1.42367137479e-10
221,HN,18.1993476697,9.79792259894
222,HN,1.13019838708,0.0581309575207
223,HR,0.804673259905,0.0425549327449
224,HR,1.31035773927,0.0728570346138
225,HR,28.4654337743,7.22972961829
226,HT,1.49151847543,0.12173686478
227,HT,12.5899422124,2.7476958947
228,HU,18.1620444805,11.0332889678
229,ID,2.01113611879,0.197550189386
230,ID,1.06778016987,0.0770273843992
231,ID,5.0192060722,1.11390908167
232,ID,6.67824961991e-05,2.08266668909e-12
233,ID,6.72778864934,1.38582854912
234,ID,0.727527484812,0.0409377139681
235,ID,3.09156676357,0.515177713148
236,ID,0.763488909273,0.0411243085214
237,ID,1.14448670205,0.0788417016556
238,ID,1.31461174367,0.0848719617612
239,ID,7.49092274869,1.77549785876
240,ID,15.4738224196,2.42987770962
241,ID,1.14949496654,0.0999485066875
242,ID,2.79936652099,0.32011191312
243,ID,0.757957901813,0.0428004455253
244,ID,0.764160032783,0.0412546683438
245,ID,0.878184591811,0.0444838345349
246,ID,3.39677020603,0.445604825465
247,ID,0.774950098644,0.0457765370813
248,ID,0.671756164099,0.034391524846
249,ID,0.771232698104,0.0417741457419
250,ID,1.19106781643,0.0847873597281
251,ID,0.749702659615,0.0397242664345
252,ID,0.750293128104,0.0417493566499
253,ID,0.728500360915,0.0376242601358
254,ID,30.5793810836,12.4736064613
255,ID,1.75744948603,0.126927771148
256,ID,0.744579008236,0.0428785547618
257,ID,4.32310087202,0.807647697989
258,ID,2.69521994705,0.217172918621
259,ID,1.06339978373,0.0745061366605
260,ID,0.689080772578,0.035754716338
261,ID,1.3503125939,0.129332267603
262,ID,3.64315412512,0.850701759717
263,ID,9.9346479299,2.14054200222
264,ID,2.82046827155,0.486793856126
265,ID,2.54863337569,0.241234777886
266,ID,1.33117297344,0.104669417727
267,ID,2.05875445179,0.267887934701
268,ID,5.94542689215,0.673255517814
269,ID,3.36495319482,0.341978465078
270,ID,0.755801332852,0.0435412124629
271,ID,6.9085231508,1.27214857478
272,ID,2.81431829642,0.345003111304
273,ID,3.14943833301,0.335559292906
274,ID,0.780871798244,0.0423463088683
275,ID,0.898907470935,0.0624202918694
276,ID,2.74901089919,0.439573334766
277,ID,2.97165561981,0.341922158396
278,ID,0.860813188754,0.0545125638131
279,ID,48.3634713614,34.6748545135
280,ID,1.39317449349,0.0937452835394
281,ID,2.90672101794,0.336562945085
282,ID,3.23547595039,0.467665436467
283,ID,1.77888181293,0.147950637131
284,ID,1.069213183,0.0561408849026
285,ID,1.02147609742,0.0655827052823
286,ID,3.4156750826,0.302087711573
287,ID,0.905338014649,0.0586296610219
288,ID,0.713584270951,0.0361598711453
289,ID,3.04090232249,0.273720310273
290,ID,2.99098924782,0.452376178012
291,ID,49.718741209,16.7965628645
292,ID,0.704061693943,0.0354360824643
293,ID,12.2353779025,2.03035432118
294,ID,0.988168304838,0.0567584814347
295,ID,1.96969576792,0.275905714053
296,ID,0.745992249413,0.0372447513412
297,ID,2.38213329387,0.247263940511
298,ID,0.721483260283,0.0365587983097
299,ID,0.899516603697,0.0575892742823
300,ID,1.25065836325,0.0987581196024
